node_id,username,full_name,party,chamber,out_degree,in_degree,out_strength,in_strength,betweenness,closeness,eigenvector,viral_centrality
399,SteveScalise,Steve Scalise,Republican,House,89,63,0.935115,0.460269,0.011019,0.482197,0.110971,1.145936
367,SpeakerPelosi,Nancy Pelosi,Democrat,House,210,51,0.943639,0.240261,0.048508,0.456647,0.005523,1.112454
393,RepBobbyRush,Bobby Rush,Democrat,House,111,79,0.869416,0.357225,0.033594,0.508584,0.011131,1.007327
322,GOPLeader,Kevin McCarthy,Republican,House,157,127,0.827219,1.648282,0.060266,0.561611,0.376579,0.979915
470,RepJoeWilson,Joe Wilson,Republican,House,38,21,0.695238,0.102018,0.003417,0.457088,0.018241,0.810477
164,RepJamesComer,James Comer,Republican,House,38,11,0.603015,0.053671,0.000797,0.4,0.017376,0.784266
436,RepMarkTakano,Mark Takano,Democrat,House,85,9,0.649746,0.025864,0.003291,0.385679,0.000506,0.780674
226,RepBobGood,Bob Good,Republican,House,30,14,0.540541,0.044801,0.000358,0.390767,0.013103,0.687173
159,RepCloudTX,Michael Cloud,Republican,House,37,15,0.526316,0.090193,0.000284,0.404092,0.029293,0.674471
208,RepFranklin,Scott Franklin,Republican,House,61,121,0.518325,0.830226,0.019436,0.547344,0.156607,0.646444
321,RepLucyMcBath,Lucy McBath,Democrat,House,45,3,0.503704,0.009846,4.4e-05,0.33833,0.000221,0.574337
422,RepSpartz,Victoria Spartz,Republican,House,62,10,0.475676,0.035672,0.002859,0.420586,0.004602,0.570829
49,SenMikeLee,Mike Lee,,,47,7,0.478947,0.025627,0.003407,0.372935,0.002518,0.567209
135,RepCori,Cori Bush,Democrat,House,46,26,0.474104,0.130584,0.004153,0.432482,0.004815,0.566469
129,VernBuchanan,Vern Buchanan,Republican,House,24,24,0.408333,0.183245,0.001589,0.431301,0.050361,0.561867
328,PatrickMcHenry,Patrick McHenry,Republican,House,21,8,0.457944,0.029326,0.001349,0.393361,0.008184,0.559222
274,RepJohnKatko,John Katko,Republican,House,34,13,0.446667,0.103855,0.001862,0.422837,0.011021,0.553425
255,RepRichHudson,Richard Hudson,Republican,House,38,20,0.397351,0.136341,0.001136,0.427027,0.048654,0.547484
220,replouiegohmert,Louie Gohmert,Republican,House,34,40,0.440299,0.342857,0.000473,0.419841,0.091124,0.53197
179,rosadelauro,Rosa DeLauro,Democrat,House,84,29,0.453731,0.092369,0.003175,0.430127,0.002746,0.527301
264,RepJeffries,Hakeem Jeffries,Democrat,House,33,3,0.446043,0.012787,0.00212,0.323549,0.000132,0.520255
396,RepMariaSalazar,Maria Salazar,Republican,House,30,18,0.40411,0.111148,0.000863,0.430909,0.022882,0.514132
354,RepRalphNorman,Ralph Norman,Republican,House,50,46,0.406114,0.201443,0.003163,0.453155,0.05393,0.508239
118,RepBoebert,Lauren Boebert,Republican,House,40,22,0.390909,0.111211,0.001763,0.411458,0.033936,0.500771
155,RepKClark,Katherine Clark,Democrat,House,48,55,0.423333,0.224412,0.00681,0.486154,0.008213,0.500084
154,RepJudyChu,Judy Chu,Democrat,House,42,33,0.418994,0.133968,0.003167,0.468843,0.005196,0.499121
298,RepBarbaraLee,Barbara Lee,Democrat,House,68,40,0.407692,0.186575,0.004699,0.45229,0.006653,0.492753
440,RepTiffany,Thomas Tiffany,Republican,House,33,31,0.394737,0.206023,0.001874,0.449715,0.059057,0.485588
464,RepWesterman,Bruce Westerman,Republican,House,47,41,0.377953,0.242337,0.005421,0.48866,0.058849,0.477238
438,BennieGThompson,Bennie Thompson,Democrat,House,29,14,0.335616,0.061147,0.000687,0.408621,0.002258,0.419187
402,RepAdamSchiff,Adam Schiff,Democrat,House,40,8,0.360465,0.017003,0.000796,0.422837,0.005234,0.416607
70,SenSanders,Bernie Sanders,,,33,8,0.341232,0.03129,0.000805,0.376789,0.00096,0.415169
337,RepMaryMiller,Mary Miller,Republican,House,32,7,0.329545,0.01428,5.4e-05,0.374704,0.00411,0.411259
120,RepBost,Mike Bost,Republican,House,30,3,0.328671,0.004779,0.000227,0.37619,0.004736,0.409325
76,SenTinaSmith,Tina Smith,,,36,14,0.334928,0.086283,0.00184,0.394343,0.002073,0.402087
71,SenSchumer,Chuck Schumer,,,97,25,0.341577,0.17518,0.013169,0.408621,0.002196,0.401708
29,SenGillibrand,Kirsten Gillibrand,,,22,3,0.346154,0.018414,0.000406,0.288497,0.000103,0.400959
329,RepMcKinley,David McKinley,Republican,House,38,8,0.326203,0.041167,0.000591,0.39899,0.00673,0.389042
450,RepUnderwood,Lauren Underwood,Democrat,House,44,26,0.333333,0.124609,0.002922,0.435662,0.004727,0.388886
456,RepAnnWagner,Ann Wagner,Republican,House,25,0,0.317308,0,0.0,0.0,0.0,0.387938
178,RepDianaDeGette,Diana DeGette,Democrat,House,40,4,0.329114,0.010187,0.00041,0.340517,0.000205,0.387114
432,RepChrisStewart,Chris Stewart,Republican,House,23,15,0.235294,0.080435,0.000917,0.434464,0.026505,0.386882
388,RepDavidRouzer,David Rouzer,Republican,House,20,11,0.298077,0.037872,0.000381,0.415789,0.016546,0.383362
383,cathymcmorris,Cathy Rodgers,Republican,House,61,38,0.313063,0.212152,0.008073,0.451859,0.057138,0.383231
310,RepBlaine,Blaine Luetkemeyer,Republican,House,20,13,0.318584,0.128924,0.000672,0.395,0.012994,0.379981
112,RepBice,Stephanie Bice,Republican,House,40,40,0.288079,0.293245,0.003494,0.454894,0.090843,0.377629
423,RepSpeier,Jackie Speier,Democrat,House,58,38,0.321678,0.159429,0.004637,0.453589,0.005836,0.374955
87,SenWarren,Elizabeth Warren,,,71,48,0.310212,0.303632,0.006714,0.451429,0.007452,0.371097
171,RepJasonCrow,Jason Crow,Democrat,House,50,50,0.312303,0.36837,0.009255,0.500528,0.017138,0.367093
307,RepLoudermilk,Barry Loudermilk,Republican,House,27,9,0.275168,0.037479,2.9e-05,0.382876,0.016044,0.366096
375,RepKatiePorter,Katie Porter,Democrat,House,40,24,0.291045,0.106695,0.002629,0.420959,0.003577,0.358497
241,RepHarshbarger,Diana Harshbarger,Republican,House,23,13,0.286713,0.0507,0.000433,0.396985,0.018485,0.35341
219,RepCarlos,Carlos Gimenez,Republican,House,25,16,0.262458,0.145205,0.000851,0.421333,0.052709,0.347303
429,RepBryanSteil,Bryan Steil,Republican,House,46,12,0.255591,0.112815,0.000525,0.404782,0.035161,0.347188
9,SenSherrodBrown,Sherrod Brown,,,40,23,0.299639,0.111147,0.003757,0.407216,0.002549,0.342159
90,RonWyden,Ron Wyden,,,32,17,0.296736,0.070997,0.001851,0.396985,0.001734,0.340278
98,RepArrington,Jodey Arrington,Republican,House,30,6,0.279762,0.030225,7.8e-05,0.356659,0.008395,0.339489
290,RepLaMalfa,Doug LaMalfa,Republican,House,33,18,0.272222,0.071062,0.000616,0.424351,0.021541,0.337276
95,RepRickAllen,Rick Allen,Republican,House,33,23,0.26506,0.143835,0.002263,0.436063,0.02819,0.334913
323,RepMcCaul,Michael McCaul,Republican,House,41,19,0.279221,0.112041,0.001968,0.445489,0.030037,0.334563
113,RepAndyBiggsAZ,Andy Biggs,Republican,House,65,77,0.271186,0.638543,0.012017,0.502651,0.192274,0.334376
84,ChrisVanHollen,Chris Van Hollen,,,37,18,0.296296,0.066406,0.00241,0.406867,0.002149,0.333788
237,RepGrothman,Glenn Grothman,Republican,House,38,22,0.256303,0.091948,0.000763,0.423214,0.031171,0.331609
50,SenatorLujan,Ben Ray Luján,,,51,19,0.290541,0.067764,0.002309,0.411458,0.001443,0.327504
80,SenJohnThune,John Thune,,,33,19,0.268482,0.065685,0.002481,0.401355,0.003882,0.326472
370,RepPfluger,August Pfluger,Republican,House,51,46,0.249351,0.30619,0.005823,0.491192,0.102213,0.323561
446,RepRitchie,Ritchie Torres,Democrat,House,42,53,0.276978,0.268892,0.007446,0.487654,0.009636,0.323051
266,RepDustyJohnson,Dusty Johnson,Republican,House,25,17,0.241573,0.117201,0.003643,0.420959,0.007623,0.317415
455,NydiaVelazquez,Nydia Velázquez,Democrat,House,41,12,0.256881,0.061442,0.000511,0.402719,0.002631,0.312421
132,RepTedBudd,Ted Budd,Republican,House,24,70,0.253731,0.387554,0.002674,0.468843,0.071133,0.311855
405,RepKimSchrier,Kim Schrier,Democrat,House,34,12,0.273128,0.059963,0.001102,0.413252,0.006002,0.308186
42,timkaine,Tim Kaine,,,23,13,0.272727,0.045205,0.001599,0.397318,0.001035,0.307066
109,RepBeatty,Joyce Beatty,Democrat,House,35,43,0.252396,0.179703,0.005603,0.454458,0.005993,0.306908
199,RepFeenstra,Randy Feenstra,Republican,House,17,19,0.241228,0.218944,0.00073,0.439703,0.06265,0.3025
451,RepDavidValadao,David Valadao,Republican,House,20,16,0.248062,0.081104,0.000258,0.428959,0.015743,0.302177
125,RepMoBrooks,Mo Brooks,Republican,House,16,29,0.252101,0.162054,0.000235,0.428571,0.046761,0.301721
260,RepRonnyJackson,Ronny Jackson,Republican,House,25,11,0.240876,0.047179,0.000373,0.412533,0.010806,0.300896
101,RepBrianBabin,Brian Babin,Republican,House,34,23,0.229682,0.124914,0.001062,0.410035,0.06021,0.296657
46,SenAmyKlobuchar,Amy Klobuchar,,,41,41,0.242321,0.276811,0.007588,0.484663,0.006319,0.290859
269,RepMikeJohnson,Mike Johnson,Republican,House,57,106,0.230277,0.965445,0.012454,0.535593,0.254816,0.286434
218,RepBobGibbs,Bob Gibbs,Republican,House,24,23,0.219697,0.076286,0.001197,0.434862,0.023856,0.286155
236,RepRaulGrijalva,Raúl Grijalva,Democrat,House,45,49,0.245495,0.304336,0.005359,0.469307,0.012944,0.284388
31,ChuckGrassley,Chuck Grassley,,,43,0,0.243028,0,0.0,0.0,0.0,0.283954
270,RepMondaire,Mondaire Jones,Democrat,House,30,22,0.237443,0.071131,0.001638,0.426259,0.002576,0.283484
347,gracenapolitano,Grace Napolitano,Democrat,House,15,34,0.235294,0.195914,0.001167,0.442164,0.008179,0.283416
245,RepHerrell,Yvette Herrell,Republican,House,43,53,0.219907,0.410707,0.006486,0.504792,0.108873,0.28301
296,RepLawrence,Brenda Lawrence,Democrat,House,51,32,0.238245,0.139502,0.003952,0.44382,0.004466,0.282791
19,SenTomCotton,Tom Cotton,,,24,6,0.247525,0.027485,0.000154,0.343727,0.001237,0.278021
24,SenDuckworth,Tammy Duckworth,,,42,33,0.22449,0.121205,0.002837,0.418728,0.002273,0.271933
254,LeaderHoyer,Steny Hoyer,Democrat,House,79,108,0.233333,0.524778,0.039115,0.5186,0.01335,0.270371
289,RepLaHood,Darin LaHood,Republican,House,18,12,0.21466,0.059356,0.000448,0.413974,0.023642,0.268106
346,RepJerryNadler,Jerrold Nadler,Democrat,House,52,38,0.230769,0.133462,0.00871,0.487153,0.005635,0.266334
248,RepClayHiggins,Clay Higgins,Republican,House,25,35,0.21831,0.224589,0.000662,0.429348,0.052736,0.266194
185,MarioDB,Mario Diaz-Balart,Republican,House,19,33,0.208696,0.295302,0.003022,0.466535,0.052149,0.265634
202,RepBrianFitz,Brian Fitzpatrick,Republican,House,51,6,0.238806,0.039794,0.000706,0.367442,0.001649,0.264435
105,RepJimBanks,Jim Banks,Republican,House,75,47,0.21598,0.365559,0.00603,0.469307,0.079147,0.264376
239,RepGuthrie,Brett Guthrie,Republican,House,18,13,0.189055,0.152922,0.00062,0.39599,0.044029,0.264133
348,RepRichardNeal,Richard Neal,Democrat,House,22,5,0.238411,0.014767,0.000177,0.359909,0.00075,0.263908
350,RepTroyNehls,Troy Nehls,Republican,House,39,79,0.196481,0.359787,0.005626,0.522602,0.073552,0.26291
238,RepMichaelGuest,Michael Guest,Republican,House,27,21,0.200837,0.126021,0.000557,0.437673,0.051326,0.261522
471,RobWittman,Robert Wittman,Republican,House,19,13,0.221239,0.05346,0.001579,0.411101,0.007035,0.260282
386,RepRosendale,Matthew Rosendale,Republican,House,36,74,0.21519,0.379552,0.004652,0.485656,0.096103,0.26017
61,SenAlexPadilla,Alex Padilla,,,46,38,0.221532,0.240581,0.007193,0.435662,0.004326,0.260126
271,Jim_Jordan,Jim Jordan,Republican,House,53,45,0.206486,0.365196,0.006357,0.472112,0.12322,0.257274
467,RepNikema,Nikema Williams,Democrat,House,49,34,0.221797,0.176027,0.003908,0.438483,0.00634,0.256092
461,RepBonnie,Bonnie Watson Coleman,Democrat,House,62,75,0.216612,0.508192,0.0145,0.53139,0.028463,0.256049
359,RepBurgessOwens,Burgess Owens,Republican,House,17,16,0.194444,0.06798,0.000943,0.431301,0.017658,0.25493
430,RepGregSteube,W. Steube,Republican,House,36,13,0.197987,0.063699,0.000738,0.409326,0.017481,0.253917
426,RepPeteStauber,Pete Stauber,Republican,House,27,20,0.19244,0.178351,0.000944,0.421708,0.051534,0.251672
403,RepSchneider,Brad Schneider,Democrat,House,41,8,0.221675,0.025723,0.000514,0.390123,0.001712,0.250344
41,SenRonJohnson,Ron Johnson,,,20,13,0.208835,0.047705,0.001475,0.408621,0.007723,0.249753
56,JerryMoran,Jerry Moran,,,27,11,0.215385,0.042832,0.001449,0.378897,0.001248,0.248523
175,RodneyDavis,Rodney Davis,Republican,House,51,33,0.197943,0.38184,0.002818,0.466077,0.102728,0.246907
376,RepPressley,Ayanna Pressley,Democrat,House,43,48,0.202465,0.34903,0.003458,0.455331,0.011935,0.246113
341,RepGwenMoore,Gwen Moore,Democrat,House,40,41,0.19888,0.190395,0.003947,0.457088,0.008257,0.244921
457,RepWalberg,Tim Walberg,Republican,House,24,7,0.1875,0.04204,0.000146,0.388525,0.017386,0.244586
136,RepCheri,Cheri Bustos,Democrat,House,47,51,0.204918,0.274675,0.009602,0.484663,0.014169,0.244237
360,CongPalazzo,Steven Palazzo,Republican,House,18,17,0.18797,0.067628,0.000127,0.40968,0.026153,0.243248
161,Rep_Clyde,Andrew Clyde,Republican,House,25,40,0.192429,0.333479,0.001227,0.472582,0.147104,0.241425
172,RepJohnCurtis,John Curtis,Republican,House,19,18,0.2,0.111913,0.002092,0.437269,0.008363,0.240184
278,RepRobinKelly,Robin Kelly,Democrat,House,27,27,0.204819,0.112737,0.001518,0.448439,0.004874,0.239889
351,RepNewhouse,Dan Newhouse,Republican,House,35,25,0.188506,0.129395,0.001343,0.437269,0.035453,0.234341
211,RepGallagher,Mike Gallagher,Republican,House,39,31,0.194346,0.144688,0.005034,0.458858,0.023969,0.23374
231,RepGarretGraves,Garret Graves,Republican,House,29,4,0.188811,0.011389,0.000772,0.405822,0.007,0.232761
379,RepRaskin,Jamie Raskin,Democrat,House,29,20,0.208531,0.056246,0.001173,0.41652,0.001859,0.23242
223,RepTonyGonzales,Tony Gonzales,Republican,House,38,27,0.173913,0.178235,0.004649,0.475904,0.06185,0.231744
449,RepMikeTurner,Michael Turner,Republican,House,28,19,0.1875,0.184252,0.003573,0.426643,0.030911,0.231238
65,SenJackReed,Jack Reed,,,24,17,0.202247,0.046761,0.00111,0.397985,0.001289,0.230574
235,RepMGriffith,Morgan Griffith,Republican,House,14,4,0.163934,0.010826,6.9e-05,0.387255,0.003845,0.229656
358,Ilhan,Ilhan Omar,Democrat,House,23,27,0.189922,0.170418,0.001088,0.420959,0.005397,0.229443
108,RepKarenBass,Karen Bass,Democrat,House,17,4,0.192661,0.022274,0.000289,0.364615,0.001603,0.229276
150,RepCawthorn,Madison Cawthorn,Republican,House,26,29,0.185185,0.133755,0.000813,0.422084,0.056316,0.228394
441,RepTimmons,William Timmons,Republican,House,15,27,0.183206,0.148616,0.000608,0.436063,0.040871,0.22681
