node_id,username,full_name,party,chamber,community_id
0,SenatorBaldwin,Tammy Baldwin,Democrat,Senate,Democrat
4,SenBlumenthal,Richard Blumenthal,Democrat,Senate,Democrat
12,SenatorCardin,Ben Cardin,,,Other
18,SenCortezMasto,Cortez Masto,,,Other
25,SenatorDurbin,Dick Durbin,,,Other
30,LindseyGrahamSC,Lindsey Graham,,,Other
46,SenAmyKlobuchar,Amy Klobuchar,,,Other
55,SenJeffMerkley,Jeff Merkley,,,Other
58,ChrisMurphyCT,Chris Murphy,,,Other
59,PattyMurray,Patty Murray,,,Other
74,SenatorShaheen,Jeanne Shaheen,,,Other
76,SenTinaSmith,Tina Smith,,,Other
77,SenStabenow,Debbie Stabenow,,,Other
85,MarkWarner,Mark Warner,,,Other
86,SenatorWarnock,Reverend Raphael Warnock,,,Other
87,SenWarren,Elizabeth Warren,,,Other
154,RepJudyChu,Judy Chu,Democrat,House,Democrat
168,RepJoeCourtney,Joe Courtney,Democrat,House,Democrat
341,RepGwenMoore,Gwen Moore,Democrat,House,Democrat
374,repmarkpocan,Mark Pocan,Democrat,House,Democrat
401,janschakowsky,Jan Schakowsky,,,Other
3,MarshaBlackburn,Marsha Blackburn,Republican,Senate,Republican
14,SenBobCasey,Bob Casey,,,Other
17,JohnCornyn,John Cornyn,,,Other
24,SenDuckworth,Tammy Duckworth,,,Other
27,SenFeinstein,Dianne Feinstein,,,Other
64,senrobportman,Rob Portman,,,Other
79,SenatorTester,Jon Tester,,,Other
84,ChrisVanHollen,Chris Van Hollen,,,Other
88,SenWhitehouse,Sheldon Whitehouse,,,Other
89,SenatorWicker,Roger Wicker,,,Other
149,JoaquinCastrotx,Joaquin Castro,Democrat,House,Democrat
179,rosadelauro,Rosa DeLauro,Democrat,House,Democrat
197,RepDwightEvans,Dwight Evans,Democrat,House,Democrat
213,RepGaramendi,John Garamendi,Democrat,House,Democrat
224,RepJenniffer,Jenniffer González-Colón,Republican,House,Republican
243,RepJahanaHayes,Jahana Hayes,Democrat,House,Democrat
250,jahimes,Jim Himes,,,Other
268,RepHankJohnson,Hank Johnson,Democrat,House,Democrat
286,CongressmanRaja,Raja Krishnamoorthi,Democrat,House,Democrat
293,RepJohnLarson,John Larson,Democrat,House,Democrat
315,RepMaloney,Carolyn Maloney,Democrat,House,Democrat
447,RepLoriTrahan,Lori Trahan,Democrat,House,Democrat
460,RepDWStweets,Debbie Wasserman Schultz,Democrat,House,Democrat
11,SenCapito,Shelley Moore Capito,,,Other
13,SenatorCarper,Tom Carper,,,Other
32,SenatorHagerty,Bill Hagerty,,,Other
57,lisamurkowski,Lisa Murkowski,,,Other
91,SenToddYoung,Todd Young,,,Other
126,RepAnthonyBrown,Anthony Brown,Democrat,House,Democrat
162,RepCohen,Steve Cohen,Democrat,House,Democrat
254,LeaderHoyer,Steny Hoyer,Democrat,House,Democrat
255,RepRichHudson,Richard Hudson,Republican,House,Republican
327,RepMcGovern,James McGovern,Democrat,House,Democrat
334,RepKweisiMfume,Kweisi Mfume,Democrat,House,Democrat
392,Call_Me_Dutch,Dutch Ruppersberger,Democrat,House,Democrat
398,RepSarbanes,John Sarbanes,Democrat,House,Democrat
448,RepDavidTrone,David Trone,Democrat,House,Democrat
454,RepVeasey,Marc Veasey,Democrat,House,Democrat
470,RepJoeWilson,Joe Wilson,Republican,House,Republican
2,SenatorBennet,Michael Bennet,Democrat,Senate,Democrat
9,SenSherrodBrown,Sherrod Brown,,,Other
28,SenatorFischer,Deb Fischer,,,Other
42,timkaine,Tim Kaine,,,Other
50,SenatorLujan,Ben Ray Luján,,,Other
54,SenatorMenendez,Bob Menendez,,,Other
68,SenJackyRosen,Jacky Rosen,,,Other
110,RepBera,Ami Bera,Democrat,House,Democrat
217,RepSylviaGarcia,Sylvia Garcia,Democrat,House,Democrat
229,RepJoshG,Josh Gottheimer,Democrat,House,Democrat
299,RepSusieLee,Susie Lee,Democrat,House,Democrat
442,repdinatitus,Dina Titus,Democrat,House,Democrat
48,SenatorLeahy,Patrick Leahy,,,Other
53,SenMarkey,Ed Markey,,,Other
61,SenAlexPadilla,Alex Padilla,,,Other
71,SenSchumer,Chuck Schumer,,,Other
75,SenatorSinema,Kyrsten Sinema,,,Other
80,SenJohnThune,John Thune,,,Other
111,RepDonBeyer,Donald Beyer,Democrat,House,Democrat
123,CongBoyle,Brendan Boyle,Democrat,House,Democrat
136,RepCheri,Cheri Bustos,Democrat,House,Democrat
147,RepCasten,Sean Casten,Democrat,House,Democrat
193,RepEscobar,Veronica Escobar,Democrat,House,Democrat
205,RepBillFoster,Bill Foster,Democrat,House,Democrat
215,RepChuyGarcia,Chuy García,Democrat,House,Democrat
247,RepBrianHiggins,Brian Higgins,Democrat,House,Democrat
278,RepRobinKelly,Robin Kelly,Democrat,House,Democrat
387,RepDeborahRoss,Deborah Ross,Democrat,House,Democrat
393,RepBobbyRush,Bobby Rush,Democrat,House,Democrat
403,RepSchneider,Brad Schneider,Democrat,House,Democrat
450,RepUnderwood,Lauren Underwood,Democrat,House,Democrat
452,RepBethVanDuyne,Beth Van Duyne,Republican,House,Republican
